username, created_at, lng, lat, text,,,,
KaishaCreates, Thu Apr 23 21:17:30 +0000 2020,-73.323644,40.696022, On this strangely weathered #TheatreThursday (like it was seriously SNOWING earlier y’all 🤷🏽‍♀️) - I thought I’d ta… https://t.co/LRvl6gaWAU ,,,,
harpertx, Thu Apr 23 21:17:30 +0000 2020,-96.602142,32.774938, Good point ,,,,
nikkaay_22, Thu Apr 23 21:17:30 +0000 2020,-87.790965,41.843259, i need to get HANDLED ,,,,
BroncRad, Thu Apr 23 21:17:30 +0000 2020,-74.048834,41.428703, And fedposters were often shot. We were truly more advanced back then tbh ,,,,
melialicia26, Thu Apr 23 21:17:30 +0000 2020,-97.285913,32.779967, @ivan_salas14 😂 ,,,,
PRstallion78, Thu Apr 23 21:17:30 +0000 2020,-106.41743,31.793368, So just got home... Lolol but I just got a call ... I'm off to Silver City NM Got a customer out there that needs help with their Network. ,,,,
greggnolettuce, Thu Apr 23 21:17:30 +0000 2020,-90.619297,38.359036, Holy fuck ,,,,
AlwaysFlacko, Thu Apr 23 21:17:30 +0000 2020,-75.770041,42.746617, @adrielhampton Ice cream is CANCELLED ,,,,
dsj1776, Thu Apr 23 21:17:30 +0000 2020,-118.400884,33.889487, and it's a harsh lesson indeed ,,,,
azizalshammeri_, Thu Apr 23 21:17:30 +0000 2020,-80.134986,26.373976, @d3_47h علينا وعليك يتبارك ياغالي ❤️ ,,,,
momsith, Thu Apr 23 21:17:30 +0000 2020,-87.985476,42.095656, @HannahTibbs ,,,,
SotsChris, Thu Apr 23 21:17:31 +0000 2020,-149.758794,61.235042, If you ever get the chance to treat them like they treated you, I hope you choose to walk away ,,,
VictoriaFaye2, Thu Apr 23 21:17:31 +0000 2020,-98.540651,29.417501, These kicks are getting real disrespectful 😭😭 ,,,,
JVegas01, Thu Apr 23 21:17:31 +0000 2020,-84.31507,33.874544, Making Shame Great Again ,,,,
lugega, Thu Apr 23 21:17:31 +0000 2020,-119.306608,37.269176, En una semana me han salido dos perrillas/orzuelos en el ojo, pero al menos no tengo que salir y puedo sufrir en pr… https://t.co/NG4eKi4j8K ,,,
lmyarbro, Thu Apr 23 21:17:31 +0000 2020,-80.846785,35.209059, Anyone else learning dances from movies while being at home? Nailed  Night Fever dance scene from Saturday Night Fever!! 💃 #QurantineLife ,,,,
KimKayaKhianKor, Thu Apr 23 21:17:31 +0000 2020,-76.593943,24.074967, The PM and Minister of Health are both doctors and I don't see them locking nothing down. ,,,,
SwordsStilettos, Thu Apr 23 21:17:31 +0000 2020,-80.969873,35.531335, @Cmiller61408 The absolute best! Love that one! https://t.co/8ahE4CGlPl ,,,,
YoitsGilly, Thu Apr 23 21:17:31 +0000 2020,-97.935192,29.895606, President Denise Trauth great business 🤝 @TxStateBobcats ,,,,
nurse___patty, Thu Apr 23 21:17:31 +0000 2020,-83.804475,27.698682, @RamenhaeMXMB I will never forget this moment. 😍😍 @OfficialMonstaX deserve the world. ,,,,
gramzRF, Thu Apr 23 21:17:31 +0000 2020,-118.411907,34.020789, I JUST FUCKED MY FAVORITE INSTAGRAM BITCH FOR LIKE 3 STACK 😈‼️ ,,,,
Panda6969_, Thu Apr 23 21:17:31 +0000 2020,-96.777917,32.882064, https://t.co/be77P0QQkT https://t.co/IC1pLoIQpc ,,,,
JDKNOWS2100, Thu Apr 23 21:17:31 +0000 2020,-89.338039,31.310637, @d_gill31 💪🏿 ,,,,
Impliedchickens, Thu Apr 23 21:17:31 +0000 2020,-93.361321,46.441861, @iSergioar @pulte I did. Probably not what you wanted though. ,,,,
chandler_jaye_, Thu Apr 23 21:17:31 +0000 2020,-96.863795,32.604153, This weather &gt;&gt;&gt;&gt;&gt; ,,,,
Clayton03505894, Thu Apr 23 21:17:31 +0000 2020,-80.846785,35.209059, Is that pantyhose? ,,,,
98tereaguilar, Thu Apr 23 21:17:31 +0000 2020,-100.640491,25.805723, @Danygaytan97 B ✨💫 ,,,,
SocaaaJunkie, Thu Apr 23 21:17:32 +0000 2020,-71.00536,42.203364, I don’t know who told me to have a kid ... i can’t stop buying things for Laila 😩😩😩😩😩😩her bday is in two weeks And… https://t.co/28DGVMUjfq ,,,,
RDellBurns, Thu Apr 23 21:17:32 +0000 2020,-73.199118,41.185674," @MrAviator1906 Ain't this the dude who was talking bout ""Warren"" in the barbershops? ",,,,
english3H, Thu Apr 23 21:17:32 +0000 2020,-119.827182,39.512436, Yup!  Beyond belief!  I've always wanted the national guard to March into the WH and escort this loser, liar &amp; laya… https://t.co/3jvHnHfTWP ,,,
StarcraftSquall, Thu Apr 23 21:17:32 +0000 2020,-120.583402,44.145437, @DirtAndSprague I’m curious why you thought Clyde wasn’t a #1 seed, that makes NO sense to me. When Drexler was her… https://t.co/dUMt04vzM1 ,,,
